wavelength_nm,extinction_coefficient
250.0,12254.0
252.0,11231.0
254.0,10477.0
256.0,9945.0
258.0,9220.0
260.0,8891.0
262.0,8719.0
264.0,8650.0
266.0,8698.0
268.0,8470.0
270.0,8620.0
272.0,8591.0
274.0,8435.0
276.0,8625.0
278.0,8627.0
280.0,8634.0
282.0,8374.0
284.0,8582.0
286.0,8234.0
288.0,8104.0
290.0,7874.0
292.0,7876.0
294.0,7745.0
296.0,7644.0
298.0,7596.0
300.0,7370.0
302.0,7282.0
304.0,7399.0
306.0,6989.0
308.0,6737.0
310.0,6811.0
312.0,6632.0
314.0,6529.0
316.0,6277.0
318.0,6177.0
320.0,6010.0
322.0,5870.0
324.0,5690.0
326.0,5194.0
328.0,5030.0
330.0,4851.0
332.0,4801.0
334.0,4351.0
336.0,4560.0
338.0,4267.0
340.0,4394.0
342.0,4197.0
344.0,4472.0
346.0,4508.0
348.0,4396.0
350.0,4639.0
352.0,4826.0
354.0,5139.0
356.0,5180.0
358.0,5600.0
360.0,5936.0
362.0,6386.0
364.0,6678.0
366.0,7225.0
368.0,7718.0
370.0,8189.0
372.0,8934.0
374.0,9389.0
376.0,9949.0
378.0,10795.0
380.0,11551.0
382.0,12376.0
384.0,13339.0
386.0,14245.0
388.0,15217.0
390.0,16334.0
392.0,17508.0
394.0,18947.0
396.0,20306.0
398.0,21695.0
400.0,23223.0
402.0,24617.0
404.0,26126.0
406.0,27857.0
408.0,29168.0
410.0,30831.0
412.0,32610.0
414.0,34095.0
416.0,35706.0
418.0,37558.0
420.0,39293.0
422.0,41146.0
424.0,42569.0
426.0,44106.0
428.0,45653.0
430.0,46801.0
432.0,48068.0
434.0,49361.0
436.0,50080.0
438.0,51272.0
440.0,52109.0
442.0,53001.0
444.0,53570.0
446.0,53945.0
448.0,54336.0
450.0,54889.0
452.0,54913.0
454.0,54944.0
456.0,54852.0
458.0,54456.0
460.0,53869.0
462.0,53073.0
464.0,51893.0
466.0,50213.0
468.0,48330.0
470.0,46188.0
472.0,43437.0
474.0,40495.0
476.0,36981.0
478.0,33338.0
480.0,29636.0
482.0,26271.0
484.0,22833.0
486.0,19771.0
488.0,16794.0
490.0,14025.0
492.0,11835.0
494.0,9634.0
496.0,7707.0
498.0,6090.0
500.0,4767.0
502.0,3654.0
504.0,2794.0
506.0,2144.0
508.0,1702.0
510.0,1299.0
512.0,966.0
514.0,782.0
516.0,582.0
518.0,396.0
520.0,340.0
522.0,212.0
524.0,214.0
526.0,222.0
528.0,208.0
530.0,129.0
532.0,126.0
534.0,68.0
536.0,121.0
538.0,81.0
540.0,66.0
542.0,54.944
544.0,54.944
546.0,54.944
548.0,54.944
550.0,54.944
552.0,54.944
554.0,54.944
556.0,54.944
558.0,54.944
560.0,54.944
562.0,54.944
564.0,54.944
566.0,54.944
568.0,54.944
570.0,54.944
572.0,54.944
574.0,54.944
576.0,54.944
578.0,54.944
580.0,54.944
582.0,54.944
584.0,54.944
586.0,54.944
588.0,54.944
590.0,54.944
592.0,54.944
594.0,54.944
596.0,54.944
598.0,54.944
600.0,54.944
602.0,54.944
604.0,54.944
606.0,54.944
608.0,54.944
610.0,54.944
612.0,54.944
614.0,54.944
616.0,54.944
618.0,54.944
620.0,54.944
622.0,54.944
624.0,54.944
626.0,54.944
628.0,54.944
630.0,54.944
632.0,54.944
634.0,54.944
636.0,54.944
638.0,54.944
640.0,54.944
642.0,54.944
644.0,54.944
646.0,54.944
648.0,54.944
650.0,54.944
652.0,54.944
654.0,54.944
656.0,54.944
658.0,54.944
660.0,54.944
662.0,54.944
664.0,54.944
666.0,54.944
668.0,54.944
670.0,54.944
672.0,54.944
674.0,54.944
676.0,54.944
678.0,54.944
680.0,54.944
682.0,54.944
684.0,54.944
686.0,54.944
688.0,54.944
690.0,54.944
692.0,54.944
694.0,54.944
696.0,54.944
698.0,54.944
700.0,54.944
702.0,54.944
704.0,54.944
706.0,54.944
708.0,54.944
710.0,54.944
712.0,54.944
714.0,54.944
716.0,54.944
718.0,54.944
720.0,54.944
722.0,54.944
724.0,54.944
726.0,54.944
728.0,54.944
730.0,54.944
732.0,54.944
734.0,54.944
736.0,54.944
738.0,54.944
740.0,54.944
742.0,54.944
744.0,54.944
746.0,54.944
748.0,54.944
750.0,54.944
752.0,54.944
754.0,54.944
756.0,54.944
758.0,54.944
760.0,54.944
762.0,54.944
764.0,54.944
766.0,54.944
768.0,54.944
770.0,54.944
772.0,54.944
774.0,54.944
776.0,54.944
778.0,54.944
780.0,54.944
782.0,54.944
784.0,54.944
786.0,54.944
788.0,54.944
790.0,54.944
792.0,54.944
794.0,54.944
796.0,54.944
798.0,54.944
800.0,54.944
802.0,54.944
804.0,54.944
806.0,54.944
808.0,54.944
810.0,54.944
812.0,54.944
814.0,54.944
816.0,54.944
818.0,54.944
820.0,54.944
822.0,54.944
824.0,54.944
826.0,54.944
828.0,54.944
830.0,54.944
832.0,54.944
834.0,54.944
836.0,54.944
838.0,54.944
840.0,54.944
842.0,54.944
844.0,54.944
846.0,54.944
848.0,54.944
850.0,54.944
852.0,54.944
854.0,54.944
856.0,54.944
858.0,54.944
860.0,54.944
862.0,54.944
864.0,54.944
866.0,54.944
868.0,54.944
870.0,54.944
872.0,54.944
874.0,54.944
876.0,54.944
878.0,54.944
880.0,54.944
882.0,54.944
884.0,54.944
886.0,54.944
888.0,54.944
890.0,54.944
892.0,54.944
894.0,54.944
896.0,54.944
898.0,54.944
900.0,54.944
902.0,54.944
904.0,54.944
906.0,54.944
908.0,54.944
910.0,54.944
912.0,54.944
914.0,54.944
916.0,54.944
918.0,54.944
920.0,54.944
922.0,54.944
924.0,54.944
926.0,54.944
928.0,54.944
930.0,54.944
932.0,54.944
934.0,54.944
936.0,54.944
938.0,54.944
940.0,54.944
942.0,54.944
944.0,54.944
946.0,54.944
948.0,54.944
950.0,54.944
952.0,54.944
954.0,54.944
956.0,54.944
958.0,54.944
960.0,54.944
962.0,54.944
964.0,54.944
966.0,54.944
968.0,54.944
970.0,54.944
972.0,54.944
974.0,54.944
976.0,54.944
978.0,54.944
980.0,54.944
982.0,54.944
984.0,54.944
986.0,54.944
988.0,54.944
990.0,54.944
992.0,54.944
994.0,54.944
996.0,54.944
998.0,54.944
1000.0,54.944
